,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
3528,3647373.481402478,0.0032249386520797523,19832980.124702368,0.026544667479516747,37543577.4821814,0.09384421810600704,8435328.977891367,0.005980370844403277,67906261.04645827,0.0863290078823683,710400000.0,0.0
3529,0.0,0.0,31005003.119868897,0.03327420664020299,17683786.581987046,0.03612408888601197,704228.7629219219,0.000464275021790543,355456894.9643379,0.35297296813380696,710400000.0,0.0
3530,0.0,0.0,2427866.4680005335,0.002396879345527541,1647829116.3055115,2.692592820040075,120105053.53189823,0.04318000399842985,443666336.33565277,0.3849802620984627,710400000.0,0.0
3531,0.0,0.0,656962789.018828,0.6977881264127996,15649673.568843585,0.03605559120714631,12870081.9940992,0.008151644324629044,50596817.51683754,0.05909530316960531,710400000.0,0.0
3532,0.0,0.0,32416388.77896934,0.03458575656456079,46445876.33119194,0.09373505224337317,683440.6804656889,0.00044364749261781246,10844193.196481464,0.01130331502045133,710400000.0,0.0
3533,0.0,0.0,31863628.631647773,0.026362547186631644,22912875.875408895,0.03579071114933721,3580985.2799436515,0.0017261372830102294,144356128.07172287,0.11304307977953115,710400000.0,0.0
3534,0.0,0.0,951886986.0778556,0.7835872927176896,52634056.28372966,0.09373505224337317,16173047.056706604,0.007927312810177643,123439690.75749454,0.11093988376022602,710400000.0,0.0
3535,0.0,0.0,238958484.52597135,0.2225558296161333,70861425.23520067,0.13252432920179996,110103354.92326334,0.04707895705870284,79658395.46407403,0.07622009916217831,710400000.0,0.0
3536,0.0,0.0,10617754.02917032,0.010295072864496713,34818872.24744609,0.06228694494125454,16162903.953068683,0.007919468428980454,61300656.51913068,0.055765903800010286,710400000.0,0.0
3537,0.0,0.0,66245506.278303444,0.058043330448334776,317494159.1512226,0.5025876598062649,89689277.80553351,0.03448103896459096,59216630.77553347,0.051064424354476334,710400000.0,0.0
3538,0.0,0.0,8843987.254655907,0.010354959377010602,55395188.4023271,0.11839019413028229,46111370.98313986,0.024980194749194884,52959518.73687606,0.058174494247855396,710400000.0,0.0
3539,0.0,0.0,9925454.017066244,0.010022871098087048,8486469.606269531,0.0160516891426099,10657904.557077033,0.005512516405938884,54063082.12237469,0.05160988714313596,710400000.0,0.0
3540,0.0,0.0,54201146.80413314,0.04144914345853121,24241933.88486452,0.035671985527291714,3666594.74635893,0.0016333157856040883,233725123.38825822,0.16983735851301832,710400000.0,0.0
3541,0.0,0.0,159224310.41034144,0.13570343487256484,484827012.3439949,0.7590776856159095,11415241.004638094,0.005248483025146389,24330478.363242514,0.021120704551595364,710400000.0,0.0
3542,19218918.175380144,0.01377987883712848,56132379.74786562,0.05926466106124245,1711037928.0455818,3.124462467127212,14215075.691570805,0.007925702552558594,83569358.57293396,0.08613974595916077,710400000.0,0.0
3543,2292894352.418701,1.6439950508317782,170095990.79705673,0.1729701481667551,17645312.01109514,0.0362310666835074,6978912.37299867,0.004279193847226031,636697047.9011881,0.6194343576438691,710400000.0,0.0
3544,0.0,0.0,24648475.324874666,0.026747155668974582,10079399.554727493,0.020683227291560833,1330566.870186023,0.000869610067663264,24588820.69549402,0.025658751720305004,710400000.0,0.0
3545,0.0,0.0,423075040.4681351,0.29909472434748,0.0,0.0,0.0,0.0,102428225.89393026,0.0754473599146119,710400000.0,0.0
3546,0.0,0.0,56401037.20830469,0.05937497032071357,7982590.123081414,0.016353390548404657,6902986.647023337,0.004177221154359725,72300845.18754911,0.07452675045278263,710400000.0,0.0
3547,0.0,0.0,55881174.77481957,0.05873756989714295,7908757.939737584,0.01619535438314765,37903128.03134354,0.019607551417534633,53990911.051843144,0.055881717291571174,710400000.0,0.0
3548,22232755.379221477,0.01377987883712848,968122820.024827,0.7837730135028194,1721304847.73126,2.720070680536363,74530425.09499511,0.03213615839455704,127478836.94468391,0.11280829116299493,710400000.0,0.0
3549,0.0,0.0,4547691.380972692,0.004670644060238478,1843528507.379488,3.1199527402748704,121500949.13672912,0.04936801058869265,57366942.61028233,0.05500162279092814,710400000.0,0.0
3550,0.0,0.0,393323083.27287495,0.4391846314047743,0.0,0.0,2308323.8859780366,0.0016522492791878505,290509763.56046987,0.3323553727953864,710400000.0,0.0
3551,0.0,0.0,76739510.87112743,0.07818662848257674,17972550.549161326,0.03594593525304791,102579874.38607192,0.04592534487120967,349032962.0252847,0.3387311040475136,710400000.0,0.0
3552,2735265079.3027716,1.6439950508317782,38644288.75747974,0.03480021056849511,20948950.447100446,0.035922635182419595,3235522.844521528,0.001699588306335562,410699061.1274396,0.342160360205635,710400000.0,0.0
3553,0.0,0.0,687413885.2570043,0.5655926794860051,4793423.587126398,0.00853061877573779,44126892.67745197,0.019787841957111,26946717.14119905,0.02432940910424309,710400000.0,0.0
3554,0.0,0.0,0.0,0.0,257740419.533865,0.3597403213086328,9339743.822500048,0.004040519184662876,151807078.3110931,0.11207959639861699,710400000.0,0.0
3555,725181747.5527108,0.3751830847351977,832004629.5749391,0.5743592181203518,64363131.767661795,0.09437352987335015,1823181.0265119192,0.000859736776813801,99780343.71506773,0.07449896248604806,710400000.0,0.0
3556,655195994.4732623,0.3751830847351977,11746132.381970095,0.010394737362187453,1485400378.3463218,2.1773587961794805,61902886.90420874,0.02542677173622317,140979897.36935854,0.11546015552205025,710400000.0,0.0
3557,0.0,0.0,31098195.504074838,0.03346899851944725,142452912.9607207,0.28000606384745313,10636425.711976936,0.0061730521978762,57070634.48861858,0.05904918581912787,710400000.0,0.0
